2868,693
2869,3202
2870,9749
2875,2260
2877,5189
2881,2243
2883,943
2885,2390
2889,1042
2890,1807
2893,3240
2894,11
2899,212
290,1385
2900,326
2905,6416
2906,1182
2907,291
2908,512
2909,3060
2911,1820
2916,348
2917,1896
2919,3035
2923,3494
2925,2288
2926,1245
2927,6983
2928,1958
2934,5933
2935,19
2936,1193
2938,65
2939,683
2940,5023
2941,354
2942,5605
2943,1839
2944,12159
2945,411
2947,467
2948,584
2950,2791
2952,2021
2955,485
2956,464
2957,570
2959,512
2961,2035
2963,7001
2964,22
2965,12243
2972,4048
2974,3031
2975,1575
2983,19269
2986,1067
2987,3957
2988,1459
2991,11
2992,2171
2994,3369
2995,11513
2999,2617
3000,163
3003,3367
3004,990
3010,2703
3012,11359
3013,882
3014,206
3017,513
3019,6000
3020,407
3022,5232
3027,2595
3029,4197
303,19591
3032,2957
3034,5435
3035,3807
3036,2258
3037,298
3038,3758
3040,407
3043,1242
3044,613
3045,423
3046,785
